desertionNo,filename,happenDt,happenPlace,kindCd,colorCd,age,weight,noticeNo,noticeSdt,noticeEdt,popfile,processState,sexCd,neuterYn,specialMark,careNm,careTel,careAddr,orgNm,chargeNm,officetel,noticeComment
427348000000000,http://www.animal.go.kr/files/shelter/2022/08/202208121808747_s.jpg,2022-08-14,화남초등학교 인근,[고양이] 페르시안 믹스,삼색,2020(년생),5.1(Kg),대구-달성-2022-00504,2022-08-14,2022-08-24,http://www.animal.go.kr/files/shelter/2022/08/202208121808747.jpg,종료(자연사),F,Y,교상으로 보이며 의식이 없는 상태임.,화원연합동물병원,053-634-7975,대구광역시 달성군 화원읍 사문진로 447 (화원읍) 화원읍 관할,대구광역시 달성군,동물보호 담당,053-668-3863,
427348000000000,http://www.animal.go.kr/files/shelter/2022/08/202208121608368_s.jpg,2022-08-12,국가산단대로사거리 육교 밑,[개] 믹스견,크림색,2019(년생),3.5(Kg),대구-달성-2022-00503,2022-08-14,2022-08-24,http://www.animal.go.kr/files/shelter/2022/08/202208121608368.jpg,보호중,M,Y,"사람 손을 잘탐, 전신 피부염이 심함",현풍동물병원,053-614-3570,대구광역시 달성군 유가읍 테크노공원로 51 (유가읍),대구광역시 달성군,동물보호 담당,053-668-3863,
427348000000000,http://www.animal.go.kr/files/shelter/2022/08/202208121508590_s.jpg,2022-08-12,달성군 가창면 헐티로10길 1,[개] 푸들,흰색,2019(년생),4(Kg),대구-달성-2022-00502,2022-08-14,2022-08-24,http://www.animal.go.kr/files/shelter/2022/08/202208121508590.jpg,보호중,M,N,"털 엉킴, 사람 잘 따름",동인동물병원,053-424-4258,대구광역시 중구 동인동4가 국채보상로 724 (동인동4가) 가창면 관할,대구광역시 달성군,동물보호 담당,053-668-3863,
427348000000000,http://www.animal.go.kr/files/shelter/2022/08/202208121308706_s.jpg,2022-08-12,동아아울렛 강북점,[개] 푸들,갈색,2017(년생),6(Kg),대구-달성-2022-00501,2022-08-14,2022-08-24,http://www.animal.go.kr/files/shelter/2022/08/202208121308706.jpg,보호중,F,U,등록칩 없음 . 진드기 붙음.,화원연합동물병원,053-634-7975,대구광역시 달성군 화원읍 사문진로 447 (화원읍) 화원읍 관할,대구광역시 달성군,동물보호 담당,053-668-3863,
445473000000000,http://www.animal.go.kr/files/shelter/2022/08/202208131308884_s.jpg,2022-08-12,진안군 부귀면 북덕재로 171,[고양이] 한국 고양이,갈색,2022(년생),0.3(Kg),전북-진안-2022-00101,2022-08-13,2022-08-23,http://www.animal.go.kr/files/shelter/2022/08/202208131308884.jpg,보호중,Q,N,3마리 한배새끼,팜그린동물약품병원,063-430-8175,전라북도 진안군 진안읍 진무로 887,전라북도 진안군,진안군,063-430-8175,
445473000000000,http://www.animal.go.kr/files/shelter/2022/08/202208131308316_s.jpg,2022-08-12,진안군 부귀면 북덕재로 171,[고양이] 한국 고양이,갈색,2022(년생),0.3(Kg),전북-진안-2022-00099,2022-08-13,2022-08-23,http://www.animal.go.kr/files/shelter/2022/08/202208131308316.jpg,보호중,Q,N,3마리 한배새끼,팜그린동물약품병원,063-430-8175,전라북도 진안군 진안읍 진무로 887,전라북도 진안군,진안군,063-430-8175,
445473000000000,http://www.animal.go.kr/files/shelter/2022/08/202208131308487_s.jpg,2022-08-12,진안군 부귀면 북덕재로 171,[고양이] 한국 고양이,갈색,2022(년생),0.3(Kg),전북-진안-2022-00098,2022-08-13,2022-08-23,http://www.animal.go.kr/files/shelter/2022/08/202208131308487.jpg,보호중,Q,N,3마리 한배새끼,팜그린동물약품병원,063-430-8175,전라북도 진안군 진안읍 진무로 887,전라북도 진안군,진안군,063-430-8175,
441560000000000,http://www.animal.go.kr/files/shelter/2022/08/202208131508614_s.jpg,2022-08-12,소흘소방서 인근,[개] 믹스견,갈/흰,2022(년생),2.9(Kg),경기-포천-2022-00741,2022-08-13,2022-08-23,http://www.animal.go.kr/files/shelter/2022/08/202208131508614.jpg,보호중,F,U,양귀처짐. 코검정. 사람따름. 얌전함. 꼬리단미안됨. 털때탐.,한국동물구조관리협회,031-867-9119,경기도 양주시 남면 감악산로 63-37,경기도 포천시,차봉환,031-538-3883,
441560000000000,http://www.animal.go.kr/files/shelter/2022/08/202208131508150_s.jpg,2022-08-12,내촌면 내촌로64 인근,[개] 믹스견,흰,2020(년생),16(Kg),경기-포천-2022-00740,2022-08-13,2022-08-23,http://www.animal.go.kr/files/shelter/2022/08/202208131508150.jpg,보호중,M,N,양귀쫑긋. 코갈색. 겁많음. 꼬리단미안됨. 털때탐. 진드기오염.,한국동물구조관리협회,031-867-9119,경기도 양주시 남면 감악산로 63-37,경기도 포천시,차봉환,031-538-3883,
441414000000000,http://www.animal.go.kr/files/shelter/2022/08/202208131508447_s.jpg,2022-08-12,청산면 청창로 62 인근,[개] 미니어쳐 핀셔,갈,2014(년생),1.3(Kg),경기-연천-2022-00335,2022-08-13,2022-08-23,http://www.animal.go.kr/files/shelter/2022/08/202208131508447.jpg,종료(자연사),F,U,미니핀혼종추정. 양귀쫑긋. 코검정. 설사흔적. 여윔. 꼬리단미됨. 털상태양호.,한국동물구조관리협회,031-867-9119,경기도 양주시 남면 감악산로 63-37,경기도 연천군,유기동물담당,031-839-2326,
