desertionNo,filename,happenDt,happenPlace,kindCd,colorCd,age,weight,noticeNo,noticeSdt,noticeEdt,popfile,processState,sexCd,neuterYn,specialMark,careNm,careTel,careAddr,orgNm,chargeNm,officetel,noticeComment
431373000000000,http://www.animal.go.kr/files/shelter/2022/07/20220808140878_s.jpg,2022-08-06,진하 공영 용수장,[개] 믹스견,갈색,2019(년생),8.6(Kg),울산-울주-2022-00567,2022-08-08,2022-08-18,http://www.animal.go.kr/files/shelter/2022/07/20220808140878.jpg,보호중,F,N,경계심 매우 심함,울산유기동물보호센터,052-238-6113,울산광역시 울주군 온양읍 발리 1144,울산광역시 울주군,김은지,052-204-1635,
431373000000000,http://www.animal.go.kr/files/shelter/2022/07/202208081408387_s.jpg,2022-08-06,진하리 132-1,[개] 진도견,검정/갈색,2020(년생),18.1(Kg),울산-울주-2022-00566,2022-08-08,2022-08-18,http://www.animal.go.kr/files/shelter/2022/07/202208081408387.jpg,종료(자연사),Q,N,경계심 매우 심함/독극물감염 의심,울산유기동물보호센터,052-238-6113,울산광역시 울주군 온양읍 발리 1144,울산광역시 울주군,김은지,052-204-1635,
431369000000000,http://www.animal.go.kr/files/shelter/2022/07/202208081508794_s.jpg,2022-08-06,"중앙길 55, 성안추어탕 3층",[개] 믹스견,검정/흰색,2021(년생),5.6(Kg),울산-중구-2022-00235,2022-08-08,2022-08-18,http://www.animal.go.kr/files/shelter/2022/07/202208081508794.jpg,종료(입양),F,N,순함,울산유기동물보호센터,052-238-6113,울산광역시 울주군 온양읍 화산발리로 543 (온양읍),울산광역시 중구,권나영(중구청),052-290-3333,
431369000000000,http://www.animal.go.kr/files/shelter/2022/07/202208081508761_s.jpg,2022-08-06,"성안동 함월 12길 4, 다이아몬드빌",[고양이] 한국 고양이,고등어무늬,2022(년생),1.0(Kg),울산-중구-2022-00234,2022-08-08,2022-08-18,http://www.animal.go.kr/files/shelter/2022/07/202208081508761.jpg,보호중,Q,N,순함,울산유기동물보호센터,052-238-6113,울산광역시 울주군 온양읍 화산발리로 543 (온양읍),울산광역시 중구,권나영(중구청),052-290-3333,
431369000000000,http://www.animal.go.kr/files/shelter/2022/07/202208081508140_s.jpg,2022-08-06,"난곡 16길 23-2, 옥상",[고양이] 한국 고양이,카오스,2022(년생),1.1(Kg),울산-중구-2022-00233,2022-08-08,2022-08-18,http://www.animal.go.kr/files/shelter/2022/07/202208081508140.jpg,보호중,Q,N,약간 경계심/결막염 약간 있음,울산유기동물보호센터,052-238-6113,울산광역시 울주군 온양읍 화산발리로 543 (온양읍),울산광역시 중구,권나영(중구청),052-290-3333,
431369000000000,http://www.animal.go.kr/files/shelter/2022/07/202208081508498_s.jpg,2022-08-06,"난곡 16길 23-2, 옥상",[고양이] 한국 고양이,치즈,2022(년생),1.1(Kg),울산-중구-2022-00232,2022-08-08,2022-08-18,http://www.animal.go.kr/files/shelter/2022/07/202208081508498.jpg,보호중,Q,N,경계심 심함/결막염,울산유기동물보호센터,052-238-6113,울산광역시 울주군 온양읍 화산발리로 543 (온양읍),울산광역시 중구,권나영(중구청),052-290-3333,
430368000000000,http://www.animal.go.kr/files/shelter/2022/07/202208081308563_s.jpg,2022-08-06,중리동 401-12 번지,[개] 진도견,백색,2021(년생),18(Kg),대전-대덕-2022-00186,2022-08-08,2022-08-18,http://www.animal.go.kr/files/shelter/2022/07/202208081308563.jpg,종료(반환),M,U,,대전동물보호센터,042-825-1118,대전광역시 유성구 금남구즉로 1234 (금고동) 대전광역시 동물보호센터,대전광역시 대덕구,대덕구,042-608-6951,
430365000000000,http://www.animal.go.kr/files/shelter/2022/07/202208080908132_s.jpg,2022-08-06,대전광역시 중구 대전천서로69번길 주변,[개] 믹스견,백색,2019(년생),5.00(Kg),대전-중구-2022-00224,2022-08-08,2022-08-18,http://www.animal.go.kr/files/shelter/2022/07/202208080908132.png,종료(반환),M,U,.,대전동물보호센터,042-825-1118,대전광역시 유성구 금남구즉로 1234 (금고동) 대전광역시 동물보호센터,대전광역시 중구,한민수,042-606-7266,
428356000000000,http://www.animal.go.kr/files/shelter/2022/07/202208081008109_s.jpg,2022-08-06,서구청 경에과,[개] 푸들,흰색,2021(년생),4.3(Kg),인천-서구-2022-00603,2022-08-08,2022-08-18,http://www.animal.go.kr/files/shelter/2022/07/202208081008109.jpg,종료(기증),M,N,학대의심.대퇴골 골절.겁많음.순함.오른쪽다리피부괴사.사람좋아함,가정동물병원,032-575-0833,인천광역시 서구 가정로 346 (가정동),인천광역시 서구,김하린,032-560-1903,
428356000000000,http://www.animal.go.kr/files/shelter/2022/07/20220806110865_s.jpg,2022-08-06,연희동696번지,[개] 믹스견,흰색,2021(년생),10.8(Kg),인천-서구-2022-00600,2022-08-08,2022-08-18,http://www.animal.go.kr/files/shelter/2022/07/20220806110865.jpg,보호중,F,U,몸에오물묻음.순함.착함.말랐음,가정동물병원,032-575-0833,인천광역시 서구 가정로 346 (가정동),인천광역시 서구,김하린,032-560-1903,
