desertionNo,filename,happenDt,happenPlace,kindCd,colorCd,age,weight,noticeNo,noticeSdt,noticeEdt,popfile,processState,sexCd,neuterYn,specialMark,careNm,careTel,careAddr,orgNm,chargeNm,officetel,noticeComment
441560000000000,http://www.animal.go.kr/files/shelter/2022/07/202208041608758_s.jpg,2022-08-03,신북면 호국로 1740 인근,[개] 믹스견,흰,2021(년생),8.7(Kg),경기-포천-2022-00690,2022-08-04,2022-08-16,http://www.animal.go.kr/files/shelter/2022/07/202208041608758.jpg,보호중,M,N,양귀쫑긋. 코검정. 사람따름/얌전/순함. 진드기오염. 꼬리단미안됨. 털상태불량.,한국동물구조관리협회,031-867-9119,경기도 양주시 남면 감악산로 63-37,경기도 포천시,차봉환,031-538-3883,
441560000000000,http://www.animal.go.kr/files/shelter/2022/07/202208041608428_s.jpg,2022-08-03,신북면 호국로 1740 인근,[개] 믹스견,검/갈,2021(년생),7.5(Kg),경기-포천-2022-00689,2022-08-04,2022-08-16,http://www.animal.go.kr/files/shelter/2022/07/202208041608428.jpg,보호중,F,U,양귀쫑긋. 코검정. 사람따름/얌전/순함. 진드기오염. 꼬리단미안됨. 털상태불량.,한국동물구조관리협회,031-867-9119,경기도 양주시 남면 감악산로 63-37,경기도 포천시,차봉환,031-538-3883,
441560000000000,http://www.animal.go.kr/files/shelter/2022/07/202208041608582_s.jpg,2022-08-03,신북면 호국로 1740 인근,[개] 믹스견,검/갈/흰,2021(년생),8.6(Kg),경기-포천-2022-00688,2022-08-04,2022-08-16,http://www.animal.go.kr/files/shelter/2022/07/202208041608582.jpg,보호중,M,N,양귀처짐. 코검정. 겁있음/사람따름/소심/경계. 꼬리단미안됨. 털상태불량.,한국동물구조관리협회,031-867-9119,경기도 양주시 남면 감악산로 63-37,경기도 포천시,차봉환,031-538-3883,
441560000000000,http://www.animal.go.kr/files/shelter/2022/07/20220804160860_s.jpg,2022-08-03,신북면 호국로 1740 인근,[개] 믹스견,갈/검/흰,2021(년생),8(Kg),경기-포천-2022-00687,2022-08-04,2022-08-16,http://www.animal.go.kr/files/shelter/2022/07/20220804160860.jpg,보호중,F,U,양귀반접힘. 코검정. 사람좋아함/얌전함/겁약간. 꼬리단미안됨. 털상태불량. 진드기오염.,한국동물구조관리협회,031-867-9119,경기도 양주시 남면 감악산로 63-37,경기도 포천시,차봉환,031-538-3883,
441560000000000,http://www.animal.go.kr/files/shelter/2022/07/20220804160893_s.jpg,2022-08-03,신북면 호국로 1740 인근,[개] 믹스견,갈,2021(년생),8.6(Kg),경기-포천-2022-00686,2022-08-04,2022-08-16,http://www.animal.go.kr/files/shelter/2022/07/20220804160893.jpg,보호중,M,N,양귀쫑긋. 코검정. 사람따름/얌전/순함. 꼬리단미안됨. 털상태불량. 진드기오염.,한국동물구조관리협회,031-867-9119,경기도 양주시 남면 감악산로 63-37,경기도 포천시,차봉환,031-538-3883,
441560000000000,http://www.animal.go.kr/files/shelter/2022/07/202208041608433_s.jpg,2022-08-03,신북면 호국로 1740 인근,[개] 믹스견,갈,2021(년생),6.5(Kg),경기-포천-2022-00685,2022-08-04,2022-08-16,http://www.animal.go.kr/files/shelter/2022/07/202208041608433.jpg,보호중,F,U,왼귀반접힘/오른귀 쫑긋. 코검정. 왼송곳니 부러짐. 사람따름/소심/겁약간. 진드기오염.,한국동물구조관리협회,031-867-9119,경기도 양주시 남면 감악산로 63-37,경기도 포천시,차봉환,031-538-3883,
441559000000000,http://www.animal.go.kr/files/shelter/2022/07/202208041608740_s.jpg,2022-08-03,고원2나길 44 인근,[고양이] 한국 고양이,검줄/갈/흰,2022(년생),1.4(Kg),경기-양주-2022-00358,2022-08-04,2022-08-16,http://www.animal.go.kr/files/shelter/2022/07/202208041608740.jpg,종료(입양),M,N,눈곱. 콧물. 코검정. 앞니유치몇개빠짐. 비틀거림/균형을 못 잡음. 털때탐.,한국동물구조관리협회,031-867-9119,경기도 양주시 남면 감악산로 63-37 (남면),경기도 양주시,양주시 동물보호팀,031-8082-7361,
441559000000000,http://www.animal.go.kr/files/shelter/2022/07/202208041608149_s.jpg,2022-08-03,덕정길 105 인근 도로,[개] 스탠다드 푸들,흰,2020(년생),19(Kg),경기-양주-2022-00357,2022-08-04,2022-08-16,http://www.animal.go.kr/files/shelter/2022/07/202208041608149.jpg,종료(반환),F,U,코검정. 애교있음/사람좋아함/얌전. 꼬리단미안됨. 털때탐.,한국동물구조관리협회,031-867-9119,경기도 양주시 남면 감악산로 63-37 (남면),경기도 양주시,양주시 동물보호팀,031-8082-7361,
441559000000000,http://www.animal.go.kr/files/shelter/2022/07/202208041608294_s.jpg,2022-08-03,덕정길 105 인근 도로,[개] 스탠다드 푸들,회/흰,2020(년생),9.5(Kg),경기-양주-2022-00356,2022-08-04,2022-08-16,http://www.animal.go.kr/files/shelter/2022/07/202208041608294.jpg,종료(반환),F,U,양귀처짐. 코검정. 오드아이. 사람따름/얌전/겁약간. 꼬리단미됨. 털때탐.,한국동물구조관리협회,031-867-9119,경기도 양주시 남면 감악산로 63-37 (남면),경기도 양주시,양주시 동물보호팀,031-8082-7361,
441559000000000,http://www.animal.go.kr/files/shelter/2022/07/202208041608374_s.jpg,2022-08-03,백석읍 부흥로 1051 인근,[개] 믹스견,흰,2018(년생),7.3(Kg),경기-양주-2022-00355,2022-08-04,2022-08-16,http://www.animal.go.kr/files/shelter/2022/07/202208041608374.jpg,보호중,M,N,양귀처짐. 코분홍+검정. 송곳니 치석. 사람좋아함/낑낑댐/얌전. 꼬리단미안됨. 털때탐.,한국동물구조관리협회,031-867-9119,경기도 양주시 남면 감악산로 63-37 (남면),경기도 양주시,양주시 동물보호팀,031-8082-7361,
